Ulasan;produk;;;;;;;;;;;
Dicas bukan makin nambah malah makin berkurang harus bagaimana ya;X15 TWS Wireless Bluetooth Headset Waterproof Noise Cancelling LED Earbuds with Mic Headphone Earphone - X15;;;;;;;;;;;
Kalau ga niat jualan gausah jualan barang rusak dijual di ces bluetooth kaga ngisi apaan pantes harga murah barang murahan ini sudah ada buktinya pertama buka;X15 TWS Wireless Bluetooth Headset Waterproof Noise Cancelling LED Earbuds with Mic Headphone Earphone - X16;;;;;;;;;;;
Ga bisa nyala dan ga bisa di cas sudah percaya beli malah mengecewakan datangnya juga lama pengemasan lama 2 hari baru di kasih ke ekpedisi;X15 TWS Wireless Bluetooth Headset Waterproof Noise Cancelling LED Earbuds with Mic Headphone Earphone - X17;;;;;;;;;;;
Maaf kak ini maksudnya gimana ya?;X15 TWS Wireless Bluetooth Headset Waterproof Noise Cancelling LED Earbuds with Mic Headphone Earphone - X18;;;;;;;;;;;
Barang sudah sampai; kotak aman packingan rapih sampai susah buka. Barangnya pun keliatan bagus; tapi waktu di charge daya gak masuk.;X15 TWS Wireless Bluetooth Headset Waterproof Noise Cancelling LED Earbuds with Mic Headphone Earphone - X19;;;;;;;;;
baru dipake 2hari udah mati👎;X15 TWS Wireless Bluetooth Headset Waterproof Noise Cancelling LED Earbuds with Mic Headphone Earphone - X141;;;;;;;;;;;
gak mau nyambung sebelah;X15 TWS Wireless Bluetooth Headset Waterproof Noise Cancelling LED Earbuds with Mic Headphone Earphone - X142;;;;;;;;;;;
Suaranya cman 1 bos  gimana ini;X15 TWS Wireless Bluetooth Headset Waterproof Noise Cancelling LED Earbuds with Mic Headphone Earphone - X143;;;;;;;;;;;
Performa: Oke;X15 TWS Wireless Bluetooth Headset Waterproof Noise Cancelling LED Earbuds with Mic Headphone Earphone - X145;;;;;;;;;;;
Buat dengerin musik suaranya oke; tapi kok buat main game suaranya agak delay;X15 TWS Wireless Bluetooth Headset Waterproof Noise Cancelling LED Earbuds with Mic Headphone Earphone - X146;;;;;;;;;;
baru di pakai 4 hari; headset yang kiri suaranya mbruwet gajelas; tapi yang kanan masih oke..;X15 TWS Wireless Bluetooth Headset Waterproof Noise Cancelling LED Earbuds with Mic Headphone Earphone - X147;;;;;;;;;
Cepat sampai;X15 TWS Wireless Bluetooth Headset Waterproof Noise Cancelling LED Earbuds with Mic Headphone Earphone - X148;;;;;;;;;;;
tapi proses kemasan paket kurang aman; susah di setting; speaker tidak rusak tapi hanya sebelah yang mengeluarkan suara.;X15 TWS Wireless Bluetooth Headset Waterproof Noise Cancelling LED Earbuds with Mic Headphone Earphone - X149;;;;;;;;;
Kurang memuaskan karena ngecasnya lama banget;tapi kalo soal suara abis parah;X15 TWS Wireless Bluetooth Headset Waterproof Noise Cancelling LED Earbuds with Mic Headphone Earphone - X150;;;;;;;;;;
Di cas malah ngurangin;X15 TWS Wireless Bluetooth Headset Waterproof Noise Cancelling LED Earbuds with Mic Headphone Earphone - X151;;;;;;;;;;;
Performa: sedang; g recommend buat main game; terlalu delay kalau untuk kompetitif;X15 TWS Wireless Bluetooth Headset Waterproof Noise Cancelling LED Earbuds with Mic Headphone Earphone - X152;;;;;;;;;
Kualitas pengerjaan: bagus pengiriman cepat di banding yang lain;X15 TWS Wireless Bluetooth Headset Waterproof Noise Cancelling LED Earbuds with Mic Headphone Earphone - X153;;;;;;;;;;;
Suara kita kurang jlas;dengar SMA orang saat dipake telponan;dan gampang los coneck;X15 TWS Wireless Bluetooth Headset Waterproof Noise Cancelling LED Earbuds with Mic Headphone Earphone - X154;;;;;;;;;
kualitas bagus tapi sayang kenyamanan saat penggunaan kurang; kalo dipakai lama lama sakit daun telinga saya;X15 TWS Wireless Bluetooth Headset Waterproof Noise Cancelling LED Earbuds with Mic Headphone Earphone - X155;;;;;;;;;;
lumayanlh dengan harga segitu;;X15 TWS Wireless Bluetooth Headset Waterproof Noise Cancelling LED Earbuds with Mic Headphone Earphone - X156;;;;;;;;;;
yg sebelah kiri ga seberapa kenceng suaranya;X15 TWS Wireless Bluetooth Headset Waterproof Noise Cancelling LED Earbuds with Mic Headphone Earphone - X157;;;;;;;;;;;
Suaranya kok patah patah + lambat suarany;X15 TWS Wireless Bluetooth Headset Waterproof Noise Cancelling LED Earbuds with Mic Headphone Earphone - X158;;;;;;;;;;;
Suara nya kecil; volume nya harus d full in trus;X15 TWS Wireless Bluetooth Headset Waterproof Noise Cancelling LED Earbuds with Mic Headphone Earphone - X159;;;;;;;;;;
Pas datang packing nya udah kebuka dan malah dapat yang jelek mati sebelah gatau di tuker sama pengirim nya;X15 TWS Wireless Bluetooth Headset Waterproof Noise Cancelling LED Earbuds with Mic Headphone Earphone - X160;;;;;;;;;;;
Kok ga bisa di cas headset nya 1 mulu batrenya ga mau penuh; knp?;X15 TWS Wireless Bluetooth Headset Waterproof Noise Cancelling LED Earbuds with Mic Headphone Earphone - X161;;;;;;;;;;
Emang bagus tapi kok yg bisa nyambung cuma sebelah sebelahnya gak bisa nyambung gimana ini;X15 TWS Wireless Bluetooth Headset Waterproof Noise Cancelling LED Earbuds with Mic Headphone Earphone - X162;;;;;;;;;;;
Hansat gaberfungsi hancur jangan pesen dsini!;X15 TWS Wireless Bluetooth Headset Waterproof Noise Cancelling LED Earbuds with Mic Headphone Earphone - X163;;;;;;;;;;;
Headset nya buat nge game suaranya slow respon padahal udah bagus 😔;X15 TWS Wireless Bluetooth Headset Waterproof Noise Cancelling LED Earbuds with Mic Headphone Earphone - X164;;;;;;;;;;;
Tempat nya ga nyala klo ga sambil di cas; jdi headset nya juga ga ngisi(kalau tdak sambil di cas);X15 TWS Wireless Bluetooth Headset Waterproof Noise Cancelling LED Earbuds with Mic Headphone Earphone - X165;;;;;;;;;;
Spesker yang sebelah kiri gak ada suaranya  😭😭😭;X15 TWS Wireless Bluetooth Headset Waterproof Noise Cancelling LED Earbuds with Mic Headphone Earphone - X166;;;;;;;;;;;
Batre CPT habis kadang masuk kadang gk kadang kepencet sendiri masuk Google;X15 TWS Wireless Bluetooth Headset Waterproof Noise Cancelling LED Earbuds with Mic Headphone Earphone - X167;;;;;;;;;;;
Sangat boros batrei nya cepet abis di cas lama penuh nya!;X15 TWS Wireless Bluetooth Headset Waterproof Noise Cancelling LED Earbuds with Mic Headphone Earphone - X168;;;;;;;;;;;
Barang nya ok;cma kenapa ya klu di cas masuk nya cma sebentar lalu mati GK masuk lagi klu di cass;X15 TWS Wireless Bluetooth Headset Waterproof Noise Cancelling LED Earbuds with Mic Headphone Earphone - X169;;;;;;;;;;
Headset bluetooth nya kadang suka ga ngisi saya plis;X15 TWS Wireless Bluetooth Headset Waterproof Noise Cancelling LED Earbuds with Mic Headphone Earphone - X170;;;;;;;;;;;
pengiriman lama karna paketnya harus jalan²dulu ke 3 kota; untuk pengantaran okelah aman untuk review twsnya kurang keras suara dari twsnya bahkan volume udh di full in t...;X15 TWS Wireless Bluetooth Headset Waterproof Noise Cancelling LED Earbuds with Mic Headphone Earphone - X171;;;;;;;;;;
Sedikit ngebas;delay 1detik;X15 TWS Wireless Bluetooth Headset Waterproof Noise Cancelling LED Earbuds with Mic Headphone Earphone - X172;;;;;;;;;;
barang rusak;jelek;X15 TWS Wireless Bluetooth Headset Waterproof Noise Cancelling LED Earbuds with Mic Headphone Earphone - X173;;;;;;;;;;
barangnya bagus tapi yng kiri ga ada suara nya jadi yng kanannya aja;X15 TWS Wireless Bluetooth Headset Waterproof Noise Cancelling LED Earbuds with Mic Headphone Earphone - X174;;;;;;;;;;;
Lumayan lh; suara ny jernih; tpi batre ny cepat habis;X15 TWS Wireless Bluetooth Headset Waterproof Noise Cancelling LED Earbuds with Mic Headphone Earphone - X175;;;;;;;;;
Kemasan nya kurang rapi dan batrai nya cepat habis;X15 TWS Wireless Bluetooth Headset Waterproof Noise Cancelling LED Earbuds with Mic Headphone Earphone - X176;;;;;;;;;;;
Brang kurang baguss ..baru dipake sbntr langsung turun bateray nya...bateray nya g kuat lama ..;X15 TWS Wireless Bluetooth Headset Waterproof Noise Cancelling LED Earbuds with Mic Headphone Earphone - X177;;;;;;;;;;;
Headset nya mati sebelah;X15 TWS Wireless Bluetooth Headset Waterproof Noise Cancelling LED Earbuds with Mic Headphone Earphone - X178;;;;;;;;;;;
"Tws bagian kanannya rusak parah dh. Soalnya gk ada suaranya. Palingan cm ada notifikasi terus itupun suaranya patah"".";X15 TWS Wireless Bluetooth Headset Waterproof Noise Cancelling LED Earbuds with Mic Headphone Earphone - X179;;;;;;;;;;;
Alhamdulillah paket aman;barang ok;X15 TWS Wireless Bluetooth Headset Waterproof Noise Cancelling LED Earbuds with Mic Headphone Earphone - X180;;;;;;;;;;
Di cas hidup ny lampu ny;TPI udh lama di cas gak nambah2 batre ny; 6 % trus gak MW nambah sampai 100.;X15 TWS Wireless Bluetooth Headset Waterproof Noise Cancelling LED Earbuds with Mic Headphone Earphone - X181;;;;;;;;;
Gmn ni kak???;X15 TWS Wireless Bluetooth Headset Waterproof Noise Cancelling LED Earbuds with Mic Headphone Earphone - X182;;;;;;;;;;;
Barangnya udah datang bagus tapi kenapa yang nyalanya cuman satu;;udah di coba beberapa kali gak bisa kenapa ini;X15 TWS Wireless Bluetooth Headset Waterproof Noise Cancelling LED Earbuds with Mic Headphone Earphone - X183;;;;;;;;;
Barang nya. Bagus. Tapi nya sayang nya yg bunyi nya cuma 1;X15 TWS Wireless Bluetooth Headset Waterproof Noise Cancelling LED Earbuds with Mic Headphone Earphone - X184;;;;;;;;;;;
ga bisa nyala;X15 TWS Wireless Bluetooth Headset Waterproof Noise Cancelling LED Earbuds with Mic Headphone Earphone - X185;;;;;;;;;;;
Sebelah mati ngk hidup;X15 TWS Wireless Bluetooth Headset Waterproof Noise Cancelling LED Earbuds with Mic Headphone Earphone - X186;;;;;;;;;;;
kirain produk indo; ternyata produk cina; tpi bgus lah;X15 TWS Wireless Bluetooth Headset Waterproof Noise Cancelling LED Earbuds with Mic Headphone Earphone - X187;;;;;;;;;
"Bagus bangettt. Tapi sayang suaranya suka telat""";X15 TWS Wireless Bluetooth Headset Waterproof Noise Cancelling LED Earbuds with Mic Headphone Earphone - X188;;;;;;;;;;;
3 dulu aku kira bisa buat ngecas hp.  Tapi produk nya bagusss dari model nya baguss 👍🏼;X15 TWS Wireless Bluetooth Headset Waterproof Noise Cancelling LED Earbuds with Mic Headphone Earphone - X189;;;;;;;;;;;
Ga bisa engecah yg saya gmna inih;X15 TWS Wireless Bluetooth Headset Waterproof Noise Cancelling LED Earbuds with Mic Headphone Earphone - X190;;;;;;;;;;;
Gk bisa konek ke hp;X15 TWS Wireless Bluetooth Headset Waterproof Noise Cancelling LED Earbuds with Mic Headphone Earphone - X191;;;;;;;;;;;
Jelek banget lampu baterai ngga nyala dan ga bisa konek;X15 TWS Wireless Bluetooth Headset Waterproof Noise Cancelling LED Earbuds with Mic Headphone Earphone - X192;;;;;;;;;;;
Di cas ga penuh penuh 0 terus aneh di cas dari jam 12 malem sampe jam 6 ga penuh henset rusak;X15 TWS Wireless Bluetooth Headset Waterproof Noise Cancelling LED Earbuds with Mic Headphone Earphone - X193;;;;;;;;;;;
nyala cuman sebelah doang; emang si pengantaran cepat; adminnya juga bertele-tele. menurut gua hoki hokian dapet bagus atau ga;X15 TWS Wireless Bluetooth Headset Waterproof Noise Cancelling LED Earbuds with Mic Headphone Earphone - X194;;;;;;;;;
Baru berapa hari udah error ces ya lama ga full2;X15 TWS Wireless Bluetooth Headset Waterproof Noise Cancelling LED Earbuds with Mic Headphone Earphone - X195;;;;;;;;;;;
Sebelah kanan baterai cepet habis.dan waktu Dateng keadaan menyala;X15 TWS Wireless Bluetooth Headset Waterproof Noise Cancelling LED Earbuds with Mic Headphone Earphone - X196;;;;;;;;;;;
batre tidak bisa terisi;X15 TWS Wireless Bluetooth Headset Waterproof Noise Cancelling LED Earbuds with Mic Headphone Earphone - X197;;;;;;;;;;;
Barang rusak gini di jual penipuan di hubungin gak mau tanggung jawab gak amana jan mu lagi beli di sini barang rusak yng di jual;X15 TWS Wireless Bluetooth Headset Waterproof Noise Cancelling LED Earbuds with Mic Headphone Earphone - X198;;;;;;;;;;;
LED ga nyala terus yang nyala cuma sebelah;X15 TWS Wireless Bluetooth Headset Waterproof Noise Cancelling LED Earbuds with Mic Headphone Earphone - X199;;;;;;;;;;;
Mantap cuma box nya doang👎👎;X15 TWS Wireless Bluetooth Headset Waterproof Noise Cancelling LED Earbuds with Mic Headphone Earphone - X200;;;;;;;;;;;
Performa: Sebelah kiri nggak bunyi sama sekali;X15 TWS Wireless Bluetooth Headset Waterproof Noise Cancelling LED Earbuds with Mic Headphone Earphone - X201;;;;;;;;;;;
bagus luarnya doang tpi lainnya jelek; suaranya kecil; sama suaranya gede sebelah; batrenya gampang abis tapi segini worth it lah;X15 TWS Wireless Bluetooth Headset Waterproof Noise Cancelling LED Earbuds with Mic Headphone Earphone - X202;;;;;;;;
Masi delay ya adik adik kalo di pake main game;X15 TWS Wireless Bluetooth Headset Waterproof Noise Cancelling LED Earbuds with Mic Headphone Earphone - X203;;;;;;;;;;;
beli dua tapi yang satu udah pas mau di pake susah nyala sama kalo di cas lampu susah banget;X15 TWS Wireless Bluetooth Headset Waterproof Noise Cancelling LED Earbuds with Mic Headphone Earphone - X204;;;;;;;;;;;
gk bisa nyala sekali nyala mati lagi sekejap penjual gk respon apa apa langsung ilang jangan beli ditoko ini;X15 TWS Wireless Bluetooth Headset Waterproof Noise Cancelling LED Earbuds with Mic Headphone Earphone - X205;;;;;;;;;;;
Baru juga sampe paketnya;eh pas di jajal suara yang sebelah kirinya gak ada;gimana cara benerinnya?;X15 TWS Wireless Bluetooth Headset Waterproof Noise Cancelling LED Earbuds with Mic Headphone Earphone - X206;;;;;;;;;
Barang bagus oke la sesuai harga....;X15 TWS Wireless Bluetooth Headset Waterproof Noise Cancelling LED Earbuds with Mic Headphone Earphone - X207;;;;;;;;;;;
minus nya tukang kurir nya lambat; ekspedisi tiba tgl 15-16 tpi dateng nya tgl 18;X15 TWS Wireless Bluetooth Headset Waterproof Noise Cancelling LED Earbuds with Mic Headphone Earphone - X208;;;;;;;;;;
Kenapa ini kok nyalanya hanya sebelah dan lampu tws ngak nyala ini tokonya gimana;X15 TWS Wireless Bluetooth Headset Waterproof Noise Cancelling LED Earbuds with Mic Headphone Earphone - X209;;;;;;;;;;;
Kecewa sih;suara memang lumayan lah di harga segini;tapi kadang2 susah di sambungin ke bluetooth;kadang2 putus koneksi;di tambah buat tlf juga suara putus2;X15 TWS Wireless Bluetooth Headset Waterproof Noise Cancelling LED Earbuds with Mic Headphone Earphone - X210;;;;;;;
Performa: Saat saya pake dengar kan lagu atau bermain game yang bunyi hanya sebelah kiri saja;X15 TWS Wireless Bluetooth Headset Waterproof Noise Cancelling LED Earbuds with Mic Headphone Earphone - X211;;;;;;;;;;;
Headsetnya ga bisa ke cas cuman tempat nya doang yang nyala;X15 TWS Wireless Bluetooth Headset Waterproof Noise Cancelling LED Earbuds with Mic Headphone Earphone - X212;;;;;;;;;;;
waktu itu saya memesan produk yg sama sepertiini dan itu bagus tapi saat saya memesan lagi hedset nya itu yg keluar suara hanya sebelah terus saya mencari apa yg salah sa...;X15 TWS Wireless Bluetooth Headset Waterproof Noise Cancelling LED Earbuds with Mic Headphone Earphone - X213;;;;;;;;;;;
Suara nya patah-patah; kata nya buat game tapi ke dilay banget;X15 TWS Wireless Bluetooth Headset Waterproof Noise Cancelling LED Earbuds with Mic Headphone Earphone - X214;;;;;;;;;;
Jelek jgn di beli ketika bermain game suara ny jadi jelek contoh kita nembak dluan suara ny baru ad setelej kita tembak jgn di beli pokony;X15 TWS Wireless Bluetooth Headset Waterproof Noise Cancelling LED Earbuds with Mic Headphone Earphone - X215;;;;;;;;;;;
packing nya ppenyok; pas di coba eror terus; yg satu gamau nyala yg satu nyala; dan sekarang gamau nyala  dua duanya;X15 TWS Wireless Bluetooth Headset Waterproof Noise Cancelling LED Earbuds with Mic Headphone Earphone - X216;;;;;;;;
gimana ini;X15 TWS Wireless Bluetooth Headset Waterproof Noise Cancelling LED Earbuds with Mic Headphone Earphone - X217;;;;;;;;;;;
Baru kali ini bener bener kecewa belanja online; tws nya rusak sebelah uda di cas sampe sehari full ttep gamau; kecewa berat!;X15 TWS Wireless Bluetooth Headset Waterproof Noise Cancelling LED Earbuds with Mic Headphone Earphone - X218;;;;;;;;;
gak worth it sih buat harga 34 ribu tapi cuman nyala yang kiri;di toko lain masih banyak yang lebih bagus di harga segitu;X15 TWS Wireless Bluetooth Headset Waterproof Noise Cancelling LED Earbuds with Mic Headphone Earphone - X219;;;;;;;;;;
barang tidak menyala produk tidak bisa di kembalikan karena dus nya sudah rusksak baru 2 hari pake sudah tidak menyala;X15 TWS Wireless Bluetooth Headset Waterproof Noise Cancelling LED Earbuds with Mic Headphone Earphone - X220;;;;;;;;;;;
Boros banget batrei nya di cas juga kadang masuk kadang enggak;X15 TWS Wireless Bluetooth Headset Waterproof Noise Cancelling LED Earbuds with Mic Headphone Earphone - X221;;;;;;;;;;;
produk gagal ko nyambung nya satu satu ga semuah nya yang nyambung bayar mah di tf ga cod malah di kasi paroduk yang gagal;X15 TWS Wireless Bluetooth Headset Waterproof Noise Cancelling LED Earbuds with Mic Headphone Earphone - X222;;;;;;;;;;;
Kak pas paket nya udah Dateng saya langsung di coba tapi kok cuma satu yang bunyi suara yang satu nya nggak;X15 TWS Wireless Bluetooth Headset Waterproof Noise Cancelling LED Earbuds with Mic Headphone Earphone - X223;;;;;;;;;;;
Kecewa karena tidak sesuai dengan spesifikasi;X15 TWS Wireless Bluetooth Headset Waterproof Noise Cancelling LED Earbuds with Mic Headphone Earphone - X224;;;;;;;;;;;
Batre nya ngedrop di cas gak ngisi² kecewa bangget;X15 TWS Wireless Bluetooth Headset Waterproof Noise Cancelling LED Earbuds with Mic Headphone Earphone - X225;;;;;;;;;;;
Rusak;gak usah beli ini gak bisa di cas gw mau minta ganti;X15 TWS Wireless Bluetooth Headset Waterproof Noise Cancelling LED Earbuds with Mic Headphone Earphone - X226;;;;;;;;;;
Susah hidup nya yang hidup cuma satu enggak 2;X15 TWS Wireless Bluetooth Headset Waterproof Noise Cancelling LED Earbuds with Mic Headphone Earphone - X227;;;;;;;;;;;
di cas seharian ga ngisi² malah yg ada abis batrenya;X15 TWS Wireless Bluetooth Headset Waterproof Noise Cancelling LED Earbuds with Mic Headphone Earphone - X228;;;;;;;;;;;
Menurut gua kurang worth it.. soalnya gabisa di cas; di cas 2-3 jam dari sejak pertama beli ga nambah nambah batre nya. Dan gua coba pake dan sisa 12%. Pas di cas gabisa...;X15 TWS Wireless Bluetooth Headset Waterproof Noise Cancelling LED Earbuds with Mic Headphone Earphone - X229;;;;;;;;;;
Hetset nya jalan tempat buat ngecas nya ga jalan jadi ga bisa nge cas hetset nya kalau abis batre ...;X15 TWS Wireless Bluetooth Headset Waterproof Noise Cancelling LED Earbuds with Mic Headphone Earphone - X230;;;;;;;;;;;
batrenya cepat habis cuma menang bagus motif nya doang suara juga lambat;X15 TWS Wireless Bluetooth Headset Waterproof Noise Cancelling LED Earbuds with Mic Headphone Earphone - X231;;;;;;;;;;;
Dalam pengiriman sih cepet tapi di barang nya mungkin kurang karena gak bisa di cas udah 100 persen tapi pas di cas ke tws nya gak bisa ngecas;X15 TWS Wireless Bluetooth Headset Waterproof Noise Cancelling LED Earbuds with Mic Headphone Earphone - X232;;;;;;;;;;;
Ini knp ya kok pas d buka ga nyala lampunya ini gimana tolong jawab;X15 TWS Wireless Bluetooth Headset Waterproof Noise Cancelling LED Earbuds with Mic Headphone Earphone - X233;;;;;;;;;;;
Sakit ke kuping dann volume kiri & kanan nya beda ; mending m10;X15 TWS Wireless Bluetooth Headset Waterproof Noise Cancelling LED Earbuds with Mic Headphone Earphone - X234;;;;;;;;;;
speaker nya pecah banget nga ngebas ga nyaman;X15 TWS Wireless Bluetooth Headset Waterproof Noise Cancelling LED Earbuds with Mic Headphone Earphone - X235;;;;;;;;;;;
Hedsetnya bagus tapi wadahnya gak nyala. Pas d cobain d apa2in juga gak bisa jadi gak bisa nge cass;X15 TWS Wireless Bluetooth Headset Waterproof Noise Cancelling LED Earbuds with Mic Headphone Earphone - X236;;;;;;;;;;;
pemakaian 2hari lansung rusak di cas tidak bisa not recommended;X15 TWS Wireless Bluetooth Headset Waterproof Noise Cancelling LED Earbuds with Mic Headphone Earphone - X237;;;;;;;;;;;
Di cas ga mau naik batrenya cih;X15 TWS Wireless Bluetooth Headset Waterproof Noise Cancelling LED Earbuds with Mic Headphone Earphone - X238;;;;;;;;;;;
Lowbet terus;X15 TWS Wireless Bluetooth Headset Waterproof Noise Cancelling LED Earbuds with Mic Headphone Earphone - X240;;;;;;;;;;;
Baterai nya Jelek Udh Di cas Lama Ga Penuh Penuh Bingung;X15 TWS Wireless Bluetooth Headset Waterproof Noise Cancelling LED Earbuds with Mic Headphone Earphone - X241;;;;;;;;;;;
Kualaitas tidak seperti yg di lihat bass nya gak ada apa lagi untuk game sangat tidak sesuai boro2 mau main pubg pakai tws ini sangat tidak bagus lh;X15 TWS Wireless Bluetooth Headset Waterproof Noise Cancelling LED Earbuds with Mic Headphone Earphone - X242;;;;;;;;;;;
Batre nya boros gw ngechas 3 jam make nya 20 menit habis;X15 TWS Wireless Bluetooth Headset Waterproof Noise Cancelling LED Earbuds with Mic Headphone Earphone - X243;;;;;;;;;;;
Suara nya gede sebelah; yg kiri kenceng yg Kana kecil;;;X15 TWS Wireless Bluetooth Headset Waterproof Noise Cancelling LED Earbuds with Mic Headphone Earphone - X244;;;;;;;;
yang nyala cmn sebelah kanan doang; yg sebelah kirinya matot;X15 TWS Wireless Bluetooth Headset Waterproof Noise Cancelling LED Earbuds with Mic Headphone Earphone - X245;;;;;;;;;;
yaampun maaf ye masa kalo di cas harus diganjel . GK neken gto GK masuk ternyata;X15 TWS Wireless Bluetooth Headset Waterproof Noise Cancelling LED Earbuds with Mic Headphone Earphone - X246;;;;;;;;;;;
Kak; kalau tulis alamat itu lengkap sesuai dengan yang kita kirim dong.;X15 TWS Wireless Bluetooth Headset Waterproof Noise Cancelling LED Earbuds with Mic Headphone Earphone - X247;;;;;;;;;;
Masalahnya JNT sekarang pelayanan nya kaya bangsat; kami yg penerima ini di omelin.;X15 TWS Wireless Bluetooth Headset Waterproof Noise Cancelling LED Earbuds with Mic Headphone Earphone - X248;;;;;;;;;;
Sudah begitu...;X15 TWS Wireless Bluetooth Headset Waterproof Noise Cancelling LED Earbuds with Mic Headphone Earphone - X249;;;;;;;;;;;
Barang ya bagus tapi sayang delay pas main game;X15 TWS Wireless Bluetooth Headset Waterproof Noise Cancelling LED Earbuds with Mic Headphone Earphone - X250;;;;;;;;;;;
